query,count
iphone,1000000
iphone 15,850000
iphone charger,600000
java tutorial,400000
python tutorial,380000
airpods,720000
laptop,500000
samsung galaxy,450000
nike shoes,300000
ps5,280000
macbook air,260000
wireless earbuds,240000
phone,360248
headphones,406639
earbuds,361945
smartwatch,251439
tablet,322539
tv,265515
camera,334361
monitor,378782
keyboard,294912
mouse,246936
speaker,366657
charger,335309
cable,247454
power bank,223390
router,275896
printer,305441
fridge,287260
washing machine,176285
microwave,254248
air conditioner,312571
fan,175949
shoes,262151
running shoes,166996
backpack,201631
watch,166065
sunglasses,182191
t shirt,269163
jeans,226751
jacket,149371
sneakers,167368
trimmer,257864
mixer,204111
vacuum cleaner,243225
water purifier,173783
gaming chair,186984
graphics card,130945
ssd,129821
hard disk,187931
pen drive,188395
memory card,143499
mic,185141
webcam,132751
projector,139504
soundbar,181283
home theatre,188704
kettle,148961
toaster,115646
iron,119807
geyser,117079
smart tv,94363
led tv,141189
dslr camera,138356
action camera,134724
gaming laptop,148115
gaming mouse,80603
mechanical keyboard,138669
desk,98173
office chair,127907
standing desk,71775
air fryer,67063
induction cooktop,58535
blender,74659
juicer,77248
coffee maker,79613
hair dryer,88607
electric toothbrush,47308
fitness band,70776
treadmill,74327
dumbbells,45596
yoga mat,56192
cricket bat,35604
football,41716
cycle,44992
helmet,24598
car charger,38331
phone case,25729
screen protector,26288
tripod,15739
gimbal,12993
drone,7337
smart bulb,4380
phone pro,239317
phone max,147169
phone plus,175667
phone mini,250100
phone ultra,217236
phone lite,270291
phone 2024,246170
phone 2025,157752
phone price,175281
phone review,127995
phone under 10000,91771
phone under 20000,191300
phone under 50000,123646
phone wireless,198371
phone bluetooth,213336
phone for gaming,81813
phone for students,138608
phone best,187578
phone offer,81921
phone deals,200856
phone black,84975
phone white,155527
phone blue,150435
phone red,84728
phone with warranty,106582
phone refurbished,73014
phone new,129989
phone latest,89192
phone cheap,72026
phone 5g,116322
phone 4k,140315
phone hd,78011
phone usb c,122100
phone fast charging,79413
phone noise cancelling,52263
phone waterproof,116305
phone under 5000,69184
phone under 30000,36508
phone under 100000,93280
phone amazon,81561
phone flipkart,95663
phone online,93572
phone near me,42504
phone second hand,65392
phone original,55069
phone combo,34714
phone sale,25389
phone discount,56706
phone gold,53057
phone silver,31203
phone rose gold,28162
phone green,28056
phone pink,15256
phone large,19484
phone small,37922
phone portable,23355
phone rechargeable,28343
phone foldable,9874
phone premium,7992
phone budget,9895
phone top rated,4807
phone in india,2744
laptop pro,172897
laptop max,223893
laptop plus,163400
laptop mini,148555
laptop ultra,252892
laptop lite,141867
laptop 2024,170346
laptop 2025,188240
laptop price,173348
laptop review,177631
laptop under 10000,113686
laptop under 20000,126606
laptop under 50000,119747
laptop wireless,120867
laptop bluetooth,173517
laptop for gaming,100508
laptop for students,90556
laptop best,166478
laptop offer,107615
laptop deals,78365
laptop black,102664
laptop white,63583
laptop blue,132512
laptop red,81705
laptop with warranty,113874
laptop refurbished,98499
laptop new,135205
laptop latest,154565
laptop cheap,138850
laptop 5g,94308
laptop 4k,61398
laptop hd,132307
laptop usb c,94261
laptop fast charging,121169
laptop noise cancelling,121981
laptop waterproof,78116
laptop under 5000,49240
laptop under 30000,86212
laptop under 100000,97687
laptop amazon,48240
laptop flipkart,59271
laptop online,67365
laptop near me,93055
laptop second hand,57592
laptop original,76341
laptop combo,71188
laptop sale,61755
laptop discount,23812
laptop gold,22953
laptop silver,25592
laptop rose gold,36948
laptop green,40031
laptop pink,39162
laptop large,42081
laptop small,32783
laptop portable,24436
laptop rechargeable,25002
laptop foldable,21098
laptop premium,13539
laptop budget,7701
laptop top rated,5765
laptop in india,4303
headphones pro,156829
headphones max,270999
headphones plus,205759
headphones mini,145419
headphones ultra,240156
headphones lite,107543
headphones 2024,144657
headphones 2025,80227
headphones price,90276
headphones review,185496
headphones under 10000,195306
headphones under 20000,229627
headphones under 50000,212689
headphones wireless,142589
headphones bluetooth,177334
headphones for gaming,87691
headphones for students,104966
headphones best,83080
headphones offer,68146
headphones deals,100621
headphones black,118769
headphones white,132978
headphones blue,148936
headphones red,155003
headphones with warranty,149944
headphones refurbished,75143
headphones new,128187
headphones latest,107718
headphones cheap,96429
headphones 5g,96328
headphones 4k,92371
headphones hd,86057
headphones usb c,74194
headphones fast charging,69427
headphones noise cancelling,52469
headphones waterproof,81937
headphones under 5000,58846
headphones under 30000,77978
headphones under 100000,76217
headphones amazon,80477
headphones flipkart,61941
headphones online,38476
headphones near me,28119
headphones second hand,35637
headphones original,80301
headphones combo,27524
headphones sale,67602
headphones discount,41901
headphones gold,42389
headphones silver,22295
headphones rose gold,48790
headphones green,17361
headphones pink,25990
headphones large,19267
headphones small,29433
headphones portable,22596
headphones rechargeable,10209
headphones foldable,22682
headphones premium,15332
headphones budget,10632
headphones top rated,7967
headphones in india,3178
earbuds pro,190271
earbuds max,118595
earbuds plus,97624
earbuds mini,99368
earbuds ultra,90922
earbuds lite,126550
earbuds 2024,197949
earbuds 2025,193747
earbuds price,171606
earbuds review,239173
earbuds under 10000,75264
earbuds under 20000,135174
earbuds under 50000,123062
earbuds wireless,112149
earbuds bluetooth,194482
earbuds for gaming,145689
earbuds for students,93588
earbuds best,198396
earbuds offer,195090
earbuds deals,95948
earbuds black,127720
earbuds white,169664
earbuds blue,175202
earbuds red,139466
earbuds with warranty,121680
earbuds refurbished,147159
earbuds new,85614
earbuds latest,103699
earbuds cheap,128712
earbuds 5g,103676
earbuds 4k,114669
earbuds hd,97846
earbuds usb c,93893
earbuds fast charging,129967
earbuds noise cancelling,127045
earbuds waterproof,103627
earbuds under 5000,61561
earbuds under 30000,85112
earbuds under 100000,84510
earbuds amazon,95522
earbuds flipkart,57610
earbuds online,88109
earbuds near me,47884
earbuds second hand,79836
earbuds original,48661
earbuds combo,41940
earbuds sale,49400
earbuds discount,60952
earbuds gold,47047
earbuds silver,54118
earbuds rose gold,43164
earbuds green,20469
earbuds pink,22971
earbuds large,40175
earbuds small,23513
earbuds portable,15812
earbuds rechargeable,20412
earbuds foldable,19265
earbuds premium,14989
earbuds budget,11016
earbuds top rated,3947
earbuds in india,4095
smartwatch pro,191337
smartwatch max,174053
smartwatch plus,95328
smartwatch mini,173693
smartwatch ultra,243080
smartwatch lite,199496
smartwatch 2024,150873
smartwatch 2025,151956
smartwatch price,178828
smartwatch review,192558
smartwatch under 10000,156047
smartwatch under 20000,76308
smartwatch under 50000,94514
smartwatch wireless,81743
smartwatch bluetooth,83665
smartwatch for gaming,119805
smartwatch for students,183301
smartwatch best,180698
smartwatch offer,155127
smartwatch deals,69987
smartwatch black,61443
smartwatch white,90849
smartwatch blue,143139
smartwatch red,86344
smartwatch with warranty,154783
smartwatch refurbished,123730
smartwatch new,152673
smartwatch latest,146123
smartwatch cheap,83403
smartwatch 5g,55284
smartwatch 4k,107124
smartwatch hd,65696
smartwatch usb c,86442
